"""strain"" genes"	p value	FDR	CFT073	IAI1	K12	Sakai	Product
fimH	9.5E-03	3.9E-02	11.1	12.0	11.1	9.8	minor component of type 1 fimbriae
ftsN	9.5E-03	3.9E-02	11.5	11.7	9.7	11.2	essential cell division protein
gatA	9.6E-03	3.9E-02	10.9	10.4	12.5	10.3	galactitol-specific enzyme IIA component of PTS
yghA	9.6E-03	3.9E-02	11.2	10.5	12.2	10.1	putative glutathionylspermidine synthase, with NAD(P)-binding Rossmann-fold domain
appA	9.6E-03	3.9E-02	11.0	10.2	10.4	12.4	phosphoanhydride phosphorylase
yihE	9.6E-03	4.0E-02	11.9	11.0	11.4	9.8	putative kinase
yihI	9.7E-03	4.0E-02	11.7	11.6	11.2	9.6	conserved hypothetical protein
yecS	9.7E-03	4.0E-02	10.0	11.8	11.6	10.6	putative transporter subunit: permease component of ABC superfamily transporter
yifE	9.7E-03	4.0E-02	11.1	10.4	10.7	11.9	conserved hypothetical protein
fadB	9.8E-03	4.0E-02	11.5	10.6	11.9	10.0	fused 3-hydroxybutyryl-CoA epimerase and delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase and enoyl-CoA hydratase ; 3-hydroxyacyl-CoA dehydrogenase
ptrB	9.8E-03	4.0E-02	12.2	9.9	11.1	10.7	fragment of protease II (part 1)
tauD	9.9E-03	4.0E-02	9.6	11.4	11.7	11.3	taurine dioxygenase, 2-oxoglutarate-dependent
yaiZ	9.9E-03	4.0E-02	9.8	11.3	12.1	10.7	conserved hypothetical protein
yafS	9.9E-03	4.0E-02	11.1	11.9	9.7	11.3	putative S-adenosyl-L-methionine-dependent methyltransferase
fldA	9.9E-03	4.0E-02	9.6	11.7	11.1	11.6	flavodoxin 1
ybdK	1.0E-02	4.0E-02	11.9	11.3	11.1	9.8	gamma-glutamyl:cysteine ligase
ydhR	1.0E-02	4.0E-02	10.0	11.4	11.4	11.2	conserved hypothetical protein
fliK	1.0E-02	4.1E-02	10.3	10.4	12.4	10.9	flagellar hook-length control protein
potG	1.0E-02	4.1E-02	10.8	12.1	10.4	10.7	putrescine transporter subunit: ATP-binding component of ABC superfamily
fixC	1.0E-02	4.1E-02	10.4	10.7	12.5	10.5	putative oxidoreductase with FAD/NAD(P)-binding domain
ydhQ	1.0E-02	4.1E-02	11.1	9.9	11.9	11.1	conserved hypothetical protein
yfiH	1.0E-02	4.2E-02	10.4	12.5	10.5	10.6	conserved hypothetical protein
hokE	1.0E-02	4.2E-02	10.4	10.9	10.3	12.4	toxic polypeptide, small
ygdQ	1.0E-02	4.2E-02	11.0	11.2	12.1	9.7	conserved hypothetical protein; putative inner membrane protein
citX	1.0E-02	4.2E-02	9.8	11.4	10.7	12.1	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
ychN	1.0E-02	4.2E-02	10.8	10.8	12.4	10.0	conserved hypothetical protein
pdxY	1.0E-02	4.2E-02	11.4	11.6	9.9	11.2	pyridoxal kinase 2/pyridoxine kinase
ccmF	1.0E-02	4.2E-02	10.3	10.7	11.8	11.2	heme lyase, CcmF subunit
ynaJ	1.0E-02	4.2E-02	11.0	11.0	11.9	10.1	conserved hypothetical protein; putative inner membrane protein
pqiA	1.1E-02	4.2E-02	12.0	11.2	11.1	9.6	paraquat-inducible membrane protein A
ydfG	1.1E-02	4.2E-02	10.1	10.9	12.3	10.7	L-allo-threonine dehydrogenase, NAD(P)-binding
yhgN	1.1E-02	4.2E-02	11.9	9.7	11.6	10.8	putative antibiotic transporter
dacB	1.1E-02	4.2E-02	10.1	11.9	10.4	11.5	D-alanyl-D-alanine carboxypeptidase
mukB	1.1E-02	4.2E-02	10.2	12.1	10.2	11.6	fused chromosome partitioning protein: putative nucleotide hydrolase ; conserved hypothetical protein ; conserved protein
aspC	1.1E-02	4.2E-02	10.1	11.9	10.6	11.4	aspartate aminotransferase, PLP-dependent
yjeI	1.1E-02	4.3E-02	10.9	12.4	10.2	10.6	conserved hypothetical protein
yijE	1.1E-02	4.3E-02	11.3	10.1	10.4	12.2	putative permease
yigB	1.1E-02	4.3E-02	11.7	11.6	11.1	9.6	putative hydrolase
ybjQ	1.1E-02	4.3E-02	11.7	11.1	11.6	9.7	conserved hypothetical protein
ybhF	1.1E-02	4.3E-02	10.0	10.6	11.4	12.0	putative transporter fused subunits of ABC superfamily: ATP-binding components
yhjA	1.1E-02	4.4E-02	10.2	10.5	11.4	11.9	cytochrome C peroxidase (cpp-like)
flgI	1.1E-02	4.4E-02	11.1	10.7	12.3	9.9	flagellar basal body P-ring protein
yhaH	1.1E-02	4.4E-02	12.3	10.3	10.5	10.8	conserved hypothetical protein; putative inner membrane protein
greB	1.1E-02	4.4E-02	10.2	11.7	11.9	10.1	transcription elongation factor
mdtL	1.1E-02	4.4E-02	12.1	10.1	10.2	11.5	multidrug efflux system protein
yfbB	1.1E-02	4.4E-02	12.1	11.0	10.9	10.0	putative thioesterase, menaquinone synthesis
ydcK	1.1E-02	4.4E-02	10.4	11.2	12.2	10.2	putative enzyme
fmt	1.1E-02	4.4E-02	11.2	11.2	9.8	11.8	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase
yecN	1.1E-02	4.4E-02	11.9	11.3	9.6	11.2	conserved hypothetical protein; putative inner membrane protein
aroF	1.1E-02	4.5E-02	10.0	11.3	11.5	11.2	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible
gudD	1.1E-02	4.5E-02	10.1	10.8	12.4	10.8	(D)-glucarate dehydratase 1
smpA	1.2E-02	4.5E-02	11.6	11.7	11.0	9.6	small membrane lipoprotein
erfK	1.2E-02	4.5E-02	10.0	10.8	10.9	12.3	conserved hypothetical protein; putative NAD(P)-binding Rossmann-fold domain
hgdC	1.2E-02	4.5E-02	10.2	12.1	10.8	10.8	ATPase, activator of (R)-hydroxyglutaryl-CoA dehydratase
rnt	1.2E-02	4.5E-02	11.2	12.0	9.6	11.2	ribonuclease T (RNase T)
ygiN	1.2E-02	4.5E-02	9.5	11.4	11.5	11.6	quinol monooxygenase
yhiD	1.2E-02	4.5E-02	12.0	11.1	11.2	9.7	putative Mg(2+) transport ATPase inner membrane protein
ypfG	1.2E-02	4.5E-02	11.1	10.3	12.4	10.2	conserved hypothetical protein
yjaH	1.2E-02	4.5E-02	11.4	10.2	11.8	10.6	conserved hypothetical protein
fdhE	1.2E-02	4.6E-02	11.8	11.6	10.1	10.6	formate dehydrogenase formation protein
ygeD	1.2E-02	4.6E-02	9.7	11.2	11.5	11.6	conserved hypothetical protein; putative inner membrane protein
narK	1.2E-02	4.6E-02	10.5	10.3	11.2	12.0	nitrate/nitrite transporter
ydeQ	1.2E-02	4.6E-02	10.0	11.2	10.9	12.0	putative fimbrial-like exported adhesin protein
yjjN	1.2E-02	4.6E-02	10.3	10.1	11.2	12.3	putative oxidoreductase, Zn-dependent and NAD(P)-binding
sufC	1.2E-02	4.6E-02	11.0	11.5	10.9	10.6	component of SufBCD complex, ATP-binding component of ABC superfamily
uspE	1.2E-02	4.6E-02	10.6	10.8	12.0	10.6	stress-induced protein
ygcQ	1.2E-02	4.6E-02	11.2	9.5	11.7	11.6	putative flavoprotein
efeU	1.2E-02	4.6E-02	11.5	11.1	10.2	11.2	ferrous iron permease
clpS	1.2E-02	4.6E-02	10.8	10.8	11.6	10.8	regulatory protein for ClpA substrate specificity
ulaR	1.2E-02	4.7E-02	9.9	10.7	12.2	11.2	DNA-binding transcriptional dual regulator
chaA	1.2E-02	4.7E-02	10.1	11.4	10.8	11.7	calcium/sodium:proton antiporter
ycjF	1.2E-02	4.7E-02	10.9	12.1	9.9	11.1	conserved hypothetical protein; putative inner membrane protein
glgS	1.2E-02	4.7E-02	9.9	11.1	12.2	10.7	putative glycogen synthesis protein
ogt	1.3E-02	4.7E-02	10.3	11.6	11.2	11.0	O-6-alkylguanine-DNA:cysteine-protein methyltransferase
rluC	1.3E-02	4.7E-02	10.6	11.3	10.0	12.1	23S rRNA pseudouridylate synthase
yeiL	1.3E-02	4.7E-02	9.9	11.1	12.3	10.7	DNA-binding transcriptional activator of stationary phase nitrogen survival
mazG	1.3E-02	4.8E-02	12.2	10.4	11.0	10.4	nucleoside triphosphate pyrophosphohydrolase
gadW	1.3E-02	4.8E-02	11.1	10.1	10.4	12.3	DNA-binding transcriptional activator
speB	1.3E-02	4.8E-02	10.0	11.1	10.7	12.2	agmatinase
vsr	1.3E-02	4.8E-02	12.0	9.8	11.5	10.7	DNA mismatch endonuclease of very short patch repair
yegX	1.3E-02	4.8E-02	11.5	9.9	10.7	11.9	putative membrane-bound hydrolase
ydiU	1.3E-02	4.8E-02	11.2	11.8	10.2	10.9	conserved hypothetical protein
yedO	1.3E-02	4.8E-02	12.1	11.2	10.7	10.1	D-cysteine desulfhydrase, PLP-dependent
yebF	1.3E-02	4.8E-02	10.0	10.5	11.6	11.9	conserved hypothetical protein
rcsC	1.3E-02	4.8E-02	12.0	11.6	10.0	10.4	hybrid sensory kinase in two-component regulatory system with RcsB and YojN
ycfT	1.3E-02	4.8E-02	11.3	9.9	10.7	12.1	conserved hypothetical protein; putative inner membrane protein
ymdA	1.3E-02	4.8E-02	11.8	10.0	11.9	10.3	conserved hypothetical protein
nikE	1.3E-02	4.8E-02	10.2	10.6	12.2	11.0	nickel transporter subunit ; ATP-binding component of ABC superfamily
artM	1.3E-02	4.9E-02	11.5	11.6	9.6	11.4	arginine transporter subunit ; membrane component of ABC superfamily
ansA	1.3E-02	4.9E-02	10.5	11.8	10.0	11.7	cytoplasmic L-asparaginase I
folK	1.3E-02	4.9E-02	9.9	11.9	10.5	11.7	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
hisI	1.3E-02	4.9E-02	11.2	12.0	9.8	10.9	fused phosphoribosyl-AMP cyclohydrolase ; phosphoribosyl-ATP pyrophosphatase
yadB	1.3E-02	4.9E-02	10.0	11.7	11.3	11.0	glutamyl-Q tRNA(Asp) synthetase
ygaC	1.3E-02	5.0E-02	9.8	10.7	11.9	11.6	conserved hypothetical protein
betI	1.3E-02	5.0E-02	11.9	11.3	10.2	10.7	DNA-binding transcriptional repressor
